media,month,total,query_climatique,query_effet_de_serre,query_biodiversite,query_transition,query_durable
lacroix,1970-01,2,0,0,0,0,0
lacroix,1993-09,1,0,0,0,0,0
lacroix,1995-05,78,0,0,0,0,0
lacroix,1995-09,2021,6,4,4,0,0
lacroix,1995-10,2079,4,4,1,0,4
lacroix,1995-11,1452,1,2,1,0,3
lacroix,1995-12,1521,1,2,1,0,2
lacroix,1996-01,1879,3,2,0,0,2
lacroix,1996-02,1987,6,5,0,0,2
lacroix,1996-03,1885,1,2,0,0,1
lacroix,1996-04,1808,3,1,0,0,1
lacroix,1996-05,1669,3,2,1,0,0
lacroix,1996-06,1926,5,7,2,0,4
lacroix,1996-07,1672,4,2,1,0,0
lacroix,1996-08,1579,5,4,0,0,1
lacroix,1996-09,1893,2,2,0,0,1
lacroix,1996-10,2027,3,1,0,0,5
lacroix,1996-11,1826,3,1,0,0,2
lacroix,1996-12,1852,2,1,0,0,7
lacroix,1997-01,2021,7,0,0,0,1
lacroix,1997-02,1900,7,2,1,0,1
lacroix,1997-03,1945,2,2,0,0,0
lacroix,1997-04,1887,3,1,1,0,4
lacroix,1997-05,1920,0,1,1,0,1
lacroix,1997-06,1882,9,7,3,0,5
lacroix,1997-07,1752,4,0,0,0,0
lacroix,1997-08,1559,2,1,0,0,1
lacroix,1997-09,2009,3,4,1,0,2
lacroix,1997-10,2125,4,4,0,0,1
lacroix,1997-11,1763,7,8,1,0,3
lacroix,1997-12,1967,9,15,0,0,4
lacroix,1998-01,1134,4,4,0,0,5
lacroix,1998-02,1042,5,6,2,0,8
lacroix,1998-03,1086,3,0,0,0,3
lacroix,1998-04,904,1,0,0,0,2
lacroix,1998-05,820,1,1,1,0,0
lacroix,1998-06,925,1,2,0,0,2
lacroix,1998-07,761,1,0,0,0,4
lacroix,1998-08,732,8,0,0,0,0
lacroix,1998-09,1078,3,0,0,0,6
lacroix,1998-10,1139,3,2,2,0,4
lacroix,1998-11,1012,5,2,2,0,4
lacroix,1998-12,1099,7,4,0,0,3
lacroix,1999-01,1031,4,8,0,0,4
lacroix,1999-02,933,6,1,1,0,2
lacroix,1999-03,898,3,2,0,0,2
lacroix,1999-04,993,4,1,0,0,1
lacroix,1999-05,934,1,0,1,0,1
lacroix,1999-06,1034,2,3,0,0,8
lacroix,1999-07,831,2,0,1,0,0
lacroix,1999-08,776,3,2,0,0,3
lacroix,1999-09,1075,2,0,4,0,6
lacroix,1999-10,1092,6,8,2,0,5
lacroix,1999-11,995,3,3,0,0,4
lacroix,1999-12,1066,6,3,1,0,4
lacroix,2000-01,1093,5,6,2,0,7
lacroix,2000-02,1095,5,4,1,0,12
lacroix,2000-03,1162,2,0,1,0,3
lacroix,2000-04,986,5,6,1,0,4
lacroix,2000-05,1038,2,3,1,0,5
lacroix,2000-06,981,2,2,3,0,5
lacroix,2000-07,804,3,2,0,0,4
lacroix,2000-08,782,3,0,2,0,0
lacroix,2000-09,1081,9,11,2,0,8
lacroix,2000-10,1086,5,5,2,0,5
lacroix,2000-11,1095,18,24,1,1,9
lacroix,2000-12,1016,5,11,1,0,6
lacroix,2001-01,1105,10,4,0,0,5
lacroix,2001-02,1028,11,8,4,0,8
lacroix,2001-03,1142,6,8,1,0,4
lacroix,2001-04,1043,17,15,2,0,7
lacroix,2001-05,1127,9,11,3,0,11
lacroix,2001-06,1101,9,7,0,0,8
lacroix,2001-07,911,10,12,2,0,6
lacroix,2001-08,820,5,5,1,0,5
lacroix,2001-09,1051,5,5,1,0,6
lacroix,2001-10,1202,7,6,2,0,6
lacroix,2001-11,1120,7,5,2,0,11
lacroix,2001-12,1126,6,3,0,0,6
lacroix,2002-01,1225,10,7,0,0,12
lacroix,2002-02,1148,4,2,1,0,15
lacroix,2002-03,1100,6,5,3,0,10
lacroix,2002-04,1096,4,5,2,0,11
lacroix,2002-05,1062,3,5,2,0,10
lacroix,2002-06,1071,11,4,0,0,14
lacroix,2002-07,1069,8,7,4,0,15
lacroix,2002-08,830,12,11,4,0,21
lacroix,2002-09,1139,8,13,3,0,25
lacroix,2002-10,1283,5,5,8,0,17
lacroix,2002-11,1083,13,5,2,0,14
lacroix,2002-12,1089,4,2,1,0,13
lacroix,2003-01,1202,4,4,2,0,7
lacroix,2003-02,1095,7,2,3,0,10
lacroix,2003-03,1138,12,2,1,0,10
lacroix,2003-04,1183,7,3,3,0,12
lacroix,2003-05,1075,5,4,7,0,19
lacroix,2003-06,1152,14,3,3,0,23
lacroix,2003-07,1066,5,4,4,0,8
lacroix,2003-08,811,19,1,5,0,10
lacroix,2003-09,1279,32,8,4,0,16
lacroix,2003-10,1393,11,4,3,0,13
lacroix,2003-11,1117,6,6,3,0,19
lacroix,2003-12,1171,17,6,4,0,16
lacroix,2004-01,1358,4,6,3,0,13
lacroix,2004-02,1335,12,3,5,0,17
lacroix,2004-03,1434,10,1,1,0,12
lacroix,2004-04,1327,14,11,5,0,20
lacroix,2004-05,1268,8,4,4,0,7
lacroix,2004-06,1373,11,10,5,0,19
