"count","total","media","query","smooth"
1,73,"mediapart","Climatique",0.0171193507367088
0,57,"mediapart","Climatique",0.0201066482467458
0,42,"mediapart","Climatique",0.0231730769321009
2,53,"mediapart","Climatique",0.0262850954647916
4,131,"mediapart","Climatique",0.0294107920002559
5,75,"mediapart","Climatique",0.0325199059766582
2,122,"mediapart","Climatique",0.0355838428766595
3,112,"mediapart","Climatique",0.0385755996177436
5,89,"mediapart","Climatique",0.0414712354007148
9,111,"mediapart","Climatique",0.0442494626767309
2,87,"mediapart","Climatique",0.0468908916114132
0,84,"mediapart","Climatique",0.0493779715942692
1,95,"mediapart","Climatique",0.0516949330912703
2,78,"mediapart","Climatique",0.0537949801770263
4,91,"mediapart","Climatique",0.0556469518705646
5,68,"mediapart","Climatique",0.057262699425966
4,83,"mediapart","Climatique",0.0586573929658129
6,68,"mediapart","Climatique",0.0598489499293313
6,73,"mediapart","Climatique",0.0608575303185229
3,65,"mediapart","Climatique",0.061578490897428
9,88,"mediapart","Climatique",0.0619364124876845
19,106,"mediapart","Climatique",0.183962264150943
4,85,"mediapart","Climatique",0.0618387726877811
3,66,"mediapart","Climatique",0.0615257959571072
4,80,"mediapart","Climatique",0.0611325404654339
9,86,"mediapart","Climatique",0.0601879451187798
3,95,"mediapart","Climatique",0.0584267019521162
8,97,"mediapart","Climatique",0.0562269879072619
2,100,"mediapart","Climatique",0.0539511387416329
5,85,"mediapart","Climatique",0.0519371145036378
5,96,"mediapart","Climatique",0.0504997841014649
7,98,"mediapart","Climatique",0.0491686823547812
3,87,"mediapart","Climatique",0.0474342364392611
2,82,"mediapart","Climatique",0.0455340739990437
1,75,"mediapart","Climatique",0.0436915101689366
2,58,"mediapart","Climatique",0.0421134362715561
3,67,"mediapart","Climatique",0.0409931078894156
3,100,"mediapart","Climatique",0.0403649467863434
3,132,"mediapart","Climatique",0.0400528522715612
3,111,"mediapart","Climatique",0.0399322943007379
7,118,"mediapart","Climatique",0.0398814752055493
1,98,"mediapart","Climatique",0.0397794444754483
5,105,"mediapart","Climatique",0.0395059664103762
4,138,"mediapart","Climatique",0.0393165195292291
6,121,"mediapart","Climatique",0.0394432199880871
6,116,"mediapart","Climatique",0.0397342963034466
4,115,"mediapart","Climatique",0.0400376894639837
2,104,"mediapart","Climatique",0.0401994321864469
1,100,"mediapart","Climatique",0.0400648557818559
6,117,"mediapart","Climatique",0.0396208115829228
4,99,"mediapart","Climatique",0.0390113064057169
8,136,"mediapart","Climatique",0.0383180733540834
3,106,"mediapart","Climatique",0.037620696480399
2,77,"mediapart","Climatique",0.0369961221247576
7,112,"mediapart","Climatique",0.0365189320491733
2,125,"mediapart","Climatique",0.0359664938196195
5,121,"mediapart","Climatique",0.0351646170232137
4,105,"mediapart","Climatique",0.0342569439473393
2,122,"mediapart","Climatique",0.0333815070388147
4,102,"mediapart","Climatique",0.0326698131185068
4,120,"mediapart","Climatique",0.0322485154392725
3,140,"mediapart","Climatique",0.0320303004438932
3,130,"mediapart","Climatique",0.0318499657024555
2,132,"mediapart","Climatique",0.0317159751468676
2,138,"mediapart","Climatique",0.0316368060463456
2,88,"mediapart","Climatique",0.0316210162986835
5,145,"mediapart","Climatique",0.0316773234587356
3,129,"mediapart","Climatique",0.0318400958878757
6,128,"mediapart","Climatique",0.0321227167249902
5,114,"mediapart","Climatique",0.032502781766846
4,141,"mediapart","Climatique",0.0329578332012679
6,157,"mediapart","Climatique",0.0334650592661975
2,159,"mediapart","Climatique",0.0340010801455776
8,146,"mediapart","Climatique",0.0347229397369967
4,152,"mediapart","Climatique",0.035731333628841
4,151,"mediapart","Climatique",0.0369153468451888
4,170,"mediapart","Climatique",0.0381581524381797
5,141,"mediapart","Climatique",0.0393354418396216
13,170,"mediapart","Climatique",0.0403158128082149
11,181,"mediapart","Climatique",0.0414056912176874
5,155,"mediapart","Climatique",0.0428660448285412
5,156,"mediapart","Climatique",0.0444855122606062
4,179,"mediapart","Climatique",0.0460384410935973
4,147,"mediapart","Climatique",0.0472844946114914
9,189,"mediapart","Climatique",0.0479738212278111
3,165,"mediapart","Climatique",0.0482045025284273
14,181,"mediapart","Climatique",0.0482624221545018
6,200,"mediapart","Climatique",0.0481788576234808
9,188,"mediapart","Climatique",0.0479856715058511
9,135,"mediapart","Climatique",0.0477149207740132
12,217,"mediapart","Climatique",0.047398564349493
15,183,"mediapart","Climatique",0.0465745668761587
28,209,"mediapart","Climatique",0.136363636363636
23,215,"mediapart","Climatique",0.0431218678912439
12,183,"mediapart","Climatique",0.0412462092560291
7,183,"mediapart","Climatique",0.0397315224006317
4,212,"mediapart","Climatique",0.0388941838216571
5,184,"mediapart","Climatique",0.0382992472658043
5,191,"mediapart","Climatique",0.0374296268356556
2,228,"mediapart","Climatique",0.036469102677166
5,194,"mediapart","Climatique",0.0355939475544442
4,143,"mediapart","Climatique",0.0349725905676278
6,177,"mediapart","Climatique",0.0347693231729416
7,199,"mediapart","Climatique",0.0349926534703161
14,216,"mediapart","Climatique",0.035487390895841
3,227,"mediapart","Climatique",0.0361740231067194
6,224,"mediapart","Climatique",0.0369718532717354
6,202,"mediapart","Climatique",0.0377973497018931
4,243,"mediapart","Climatique",0.038563464983555
7,241,"mediapart","Climatique",0.0395994765116417
11,210,"mediapart","Climatique",0.0411685033028455
15,188,"mediapart","Climatique",0.0430769698949033
14,198,"mediapart","Climatique",0.0451174205686036
11,155,"mediapart","Climatique",0.0470637339085668
13,184,"mediapart","Climatique",0.0486718580193824
10,236,"mediapart","Climatique",0.050012802330107
9,167,"mediapart","Climatique",0.0513358720160898
15,186,"mediapart","Climatique",0.0526547252328705
6,174,"mediapart","Climatique",0.0539837589983089
3,178,"mediapart","Climatique",0.0553380862690079
14,232,"mediapart","Climatique",0.0567335332024328
12,198,"mediapart","Climatique",0.0581775596148586
5,197,"mediapart","Climatique",0.0596537413579658
7,216,"mediapart","Climatique",0.0611419097459364
4,181,"mediapart","Climatique",0.0626209509950239
15,154,"mediapart","Climatique",0.0640688387768135
11,178,"mediapart","Climatique",0.0654626986872488
19,221,"mediapart","Climatique",0.067105512204663
22,240,"mediapart","Climatique",0.069174527646791
