media,month,total,query_total
lacroix,1970-01,2,0
lacroix,1993-09,1,0
lacroix,1995-05,78,0
lacroix,1995-09,2021,10
lacroix,1995-10,2079,12
lacroix,1995-11,1452,7
lacroix,1995-12,1521,6
lacroix,1996-01,1879,6
lacroix,1996-02,1987,12
lacroix,1996-03,1885,4
lacroix,1996-04,1808,4
lacroix,1996-05,1669,5
lacroix,1996-06,1926,13
lacroix,1996-07,1672,7
lacroix,1996-08,1579,9
lacroix,1996-09,1893,5
lacroix,1996-10,2027,9
lacroix,1996-11,1826,6
lacroix,1996-12,1852,8
lacroix,1997-01,2021,8
lacroix,1997-02,1900,10
lacroix,1997-03,1945,3
lacroix,1997-04,1887,9
lacroix,1997-05,1920,3
lacroix,1997-06,1882,16
lacroix,1997-07,1752,4
lacroix,1997-08,1559,3
lacroix,1997-09,2009,10
lacroix,1997-10,2125,8
lacroix,1997-11,1763,15
lacroix,1997-12,1967,22
lacroix,1998-01,1134,13
lacroix,1998-02,1042,19
lacroix,1998-03,1086,6
lacroix,1998-04,904,3
lacroix,1998-05,820,3
lacroix,1998-06,925,5
lacroix,1998-07,761,5
lacroix,1998-08,732,8
lacroix,1998-09,1078,9
lacroix,1998-10,1139,11
lacroix,1998-11,1012,9
lacroix,1998-12,1099,12
lacroix,1999-01,1031,14
lacroix,1999-02,933,9
lacroix,1999-03,898,6
lacroix,1999-04,993,6
lacroix,1999-05,934,3
lacroix,1999-06,1034,13
lacroix,1999-07,831,3
lacroix,1999-08,776,8
lacroix,1999-09,1075,11
lacroix,1999-10,1092,15
lacroix,1999-11,995,7
lacroix,1999-12,1066,13
lacroix,2000-01,1093,18
lacroix,2000-02,1095,19
lacroix,2000-03,1162,6
lacroix,2000-04,986,10
lacroix,2000-05,1038,11
lacroix,2000-06,981,11
lacroix,2000-07,804,8
lacroix,2000-08,782,5
lacroix,2000-09,1081,24
lacroix,2000-10,1086,13
lacroix,2000-11,1095,33
lacroix,2000-12,1016,18
lacroix,2001-01,1105,18
lacroix,2001-02,1028,22
lacroix,2001-03,1142,13
lacroix,2001-04,1043,29
lacroix,2001-05,1127,25
lacroix,2001-06,1101,17
lacroix,2001-07,911,22
lacroix,2001-08,820,14
lacroix,2001-09,1051,13
lacroix,2001-10,1202,16
lacroix,2001-11,1120,22
lacroix,2001-12,1126,14
lacroix,2002-01,1225,26
lacroix,2002-02,1148,18
lacroix,2002-03,1100,21
lacroix,2002-04,1096,17
lacroix,2002-05,1062,16
lacroix,2002-06,1071,26
lacroix,2002-07,1069,27
lacroix,2002-08,830,32
lacroix,2002-09,1139,38
lacroix,2002-10,1283,30
lacroix,2002-11,1083,25
lacroix,2002-12,1089,20
lacroix,2003-01,1202,16
lacroix,2003-02,1095,19
lacroix,2003-03,1138,21
lacroix,2003-04,1183,21
lacroix,2003-05,1075,27
lacroix,2003-06,1152,38
lacroix,2003-07,1066,18
lacroix,2003-08,811,32
lacroix,2003-09,1279,52
lacroix,2003-10,1393,27
lacroix,2003-11,1117,30
lacroix,2003-12,1171,33
lacroix,2004-01,1358,22
lacroix,2004-02,1335,29
lacroix,2004-03,1434,23
lacroix,2004-04,1327,37
lacroix,2004-05,1268,19
lacroix,2004-06,1373,31
lacroix,2004-07,1105,28
lacroix,2004-08,1240,23
lacroix,2004-09,1395,34
lacroix,2004-10,1430,35
lacroix,2004-11,1304,29
lacroix,2004-12,1384,30
lacroix,2005-01,1418,43
lacroix,2005-02,1337,39
lacroix,2005-03,1405,29
lacroix,2005-04,1420,27
lacroix,2005-05,1377,31
lacroix,2005-06,1416,44
lacroix,2005-07,1091,49
lacroix,2005-08,1165,20
lacroix,2005-09,1473,51
lacroix,2005-10,1424,31
lacroix,2005-11,1323,32
lacroix,2005-12,1469,31
lacroix,2006-01,1604,37
lacroix,2006-02,1476,37
lacroix,2006-03,1598,40
lacroix,2006-04,1364,34
lacroix,2006-05,1466,46
lacroix,2006-06,1538,36
lacroix,2006-07,1279,38
lacroix,2006-08,1330,34
lacroix,2006-09,1564,40
lacroix,2006-10,1544,50
lacroix,2006-11,1522,51
lacroix,2006-12,1495,38
lacroix,2007-01,1684,70
lacroix,2007-02,1508,70
lacroix,2007-03,1661,61
lacroix,2007-04,1622,50
lacroix,2007-05,1630,79
lacroix,2007-06,1886,72
lacroix,2007-07,1551,68
lacroix,2007-08,1462,42
lacroix,2007-09,1601,73
lacroix,2007-10,1777,93
lacroix,2007-11,1634,47
lacroix,2007-12,1515,84
lacroix,2008-01,1796,63
lacroix,2008-02,1762,49
lacroix,2008-03,1655,53
lacroix,2008-04,1797,65
lacroix,2008-05,1606,53
lacroix,2008-06,1849,71
lacroix,2008-07,1610,71
lacroix,2008-08,1555,45
lacroix,2008-09,2019,87
lacroix,2008-10,2006,82
lacroix,2008-11,1748,72
lacroix,2008-12,1916,99
lacroix,2009-01,1918,75
lacroix,2009-02,1818,78
lacroix,2009-03,1953,63
lacroix,2009-04,1802,82
lacroix,2009-05,1639,53
lacroix,2009-06,1840,111
lacroix,2009-07,1616,65
lacroix,2009-08,1598,55
lacroix,2009-09,1917,120
lacroix,2009-10,2071,98
lacroix,2009-11,1899,72
lacroix,2009-12,1948,155
lacroix,2010-01,2061,86
lacroix,2010-02,1933,86
lacroix,2010-03,2342,80
lacroix,2010-04,2030,71
lacroix,2010-05,1972,84
lacroix,2010-06,2032,75
lacroix,2010-07,1835,63
lacroix,2010-08,1881,64
lacroix,2010-09,2193,79
lacroix,2010-10,2062,71
lacroix,2010-11,2001,63
lacroix,2010-12,2126,73
lacroix,2011-01,2067,68
lacroix,2011-02,980,26
lacroix,2011-03,2109,45
lacroix,2011-04,1895,41
lacroix,2011-05,2367,70
lacroix,2011-06,2339,66
lacroix,2011-07,2037,41
lacroix,2011-08,2115,55
lacroix,2011-09,2530,67
lacroix,2011-10,2467,56
lacroix,2011-11,2301,93
lacroix,2011-12,2122,48
lacroix,2012-01,2356,69
lacroix,2012-02,2469,61
lacroix,2012-03,2686,87
lacroix,2012-04,2466,71
lacroix,2012-05,2536,77
lacroix,2012-06,2666,76
lacroix,2012-07,2634,79
lacroix,2012-08,2789,67
lacroix,2012-09,2798,71
lacroix,2012-10,2875,55
lacroix,2012-11,2629,80
lacroix,2012-12,2491,66
lacroix,2013-01,2471,89
lacroix,2013-02,2262,59
lacroix,2013-03,2212,55
lacroix,2013-04,11186,261
lacroix,2013-05,2299,65
lacroix,2013-06,2478,62
lacroix,2013-07,2556,99
lacroix,2013-08,1960,58
lacroix,2013-09,2391,106
lacroix,2013-10,2396,83
lacroix,2013-11,2247,66
lacroix,2013-12,2267,62
lacroix,2014-01,2540,82
lacroix,2014-02,2317,86
lacroix,2014-03,2523,80
lacroix,2014-04,2346,81
lacroix,2014-05,2474,75
lacroix,2014-06,2555,82
lacroix,2014-07,2291,59
lacroix,2014-08,2181,57
lacroix,2014-09,2635,111
lacroix,2014-10,2636,84
lacroix,2014-11,2380,88
lacroix,2014-12,2328,100
lacroix,2015-01,2581,84
lacroix,2015-02,2271,122
lacroix,2015-03,2505,122
lacroix,2015-04,2312,75
lacroix,2015-05,2107,125
lacroix,2015-06,2543,160
lacroix,2015-07,2289,135
lacroix,2015-08,2034,114
lacroix,2015-09,2509,165
lacroix,2015-10,2449,167
lacroix,2015-11,2466,210
lacroix,2015-12,2558,238
lacroix,2016-01,3366,129
lacroix,2016-02,2822,83
lacroix,2016-03,3048,84
lacroix,2016-04,2836,80
lacroix,2016-05,2946,87
lacroix,2016-06,3328,97
lacroix,2016-07,2762,60
lacroix,2016-08,2536,83
lacroix,2016-09,3146,93
lacroix,2016-10,2980,129
lacroix,2016-11,3210,140
lacroix,2016-12,3150,99
lacroix,2017-01,3255,140
lacroix,2017-02,2863,102
lacroix,2017-03,3449,125
lacroix,2017-04,2951,130
lacroix,2017-05,3370,168
lacroix,2017-06,3327,143
lacroix,2017-07,2793,122
lacroix,2017-08,2688,105
lacroix,2017-09,3048,162
lacroix,2017-10,3039,133
lacroix,2017-11,2997,188
lacroix,2017-12,2959,126
lacroix,2018-01,3112,160
lacroix,2018-02,2797,120
lacroix,2018-03,3225,117
lacroix,2018-04,2846,106
lacroix,2018-05,2923,111
lacroix,2018-06,3178,135
lacroix,2018-07,2785,110
lacroix,2018-08,2549,145
lacroix,2018-09,2971,203
lacroix,2018-10,2969,183
lacroix,2018-11,2877,159
lacroix,2018-12,2887,256
lacroix,2019-01,3129,169
lacroix,2019-02,2813,170
lacroix,2019-03,2909,188
lacroix,2019-04,2799,168
lacroix,2019-05,2943,201
lacroix,2019-06,2726,176
lacroix,2019-07,2697,223
lacroix,2019-08,2385,208
lacroix,2019-09,2853,241
lacroix,2019-10,3013,207
lacroix,2019-11,2671,188
lacroix,2019-12,2569,203
lacroix,2020-01,2936,190
lacroix,2020-02,2626,169
lacroix,2020-03,3052,157
lacroix,2020-04,2509,121
lacroix,2020-05,2437,134
lacroix,2020-06,2786,210
lacroix,2020-07,2505,173
lacroix,2020-08,2300,140
lacroix,2020-09,2862,227
lacroix,2020-10,2781,160
lacroix,2020-11,2714,155
lacroix,2020-12,2754,149
lacroix,2021-01,2763,181
lacroix,2021-02,2464,122
lacroix,2021-03,2977,212
lacroix,2021-04,2609,206
lacroix,2021-05,2593,138
lacroix,2021-06,3066,189
lacroix,2021-07,2567,191
lacroix,2021-08,2361,213
lacroix,2021-09,2832,240
lacroix,2021-10,2627,216
lacroix,2021-11,2594,281
lacroix,2021-12,2713,161
lacroix,2022-01,2789,179
lacroix,2022-02,2508,166
lacroix,2022-03,2886,201
lacroix,2022-04,2710,185
lacroix,2022-05,2724,248
lacroix,2022-06,2851,231
lacroix,2022-07,2316,213
lacroix,2022-08,2182,249
lacroix,2022-09,2714,249
lacroix,2022-10,2592,235
lacroix,2022-11,2578,254
lacroix,2022-12,2631,211
lacroix,2023-01,2658,225
lacroix,2023-02,2355,176
lacroix,2023-03,2629,204
lacroix,2023-04,2349,197
lacroix,2023-05,2325,212
lacroix,2023-06,2549,254
lacroix,2023-07,2191,218
lacroix,2023-08,2110,214
lacroix,2023-09,2525,334
lacroix,2023-10,2485,242
lacroix,2023-11,2404,212
lacroix,2023-12,1373,135
lacroix,2024-01,1336,149
lacroix,2024-02,1168,111
lacroix,2024-03,1257,107
lacroix,2024-04,1210,112
lacroix,2024-05,1204,119
lacroix,2024-06,1234,112
lacroix,2024-07,929,78
lefigaro,2004-12,84,0
lefigaro,2005-04,2,0
lefigaro,2005-05,3,0
lefigaro,2005-06,3,0
lefigaro,2005-07,23,0
lefigaro,2005-08,20,0
lefigaro,2005-09,40,1
lefigaro,2005-10,94,1
lefigaro,2005-11,111,0
lefigaro,2005-12,127,4
lefigaro,2006-01,363,3
lefigaro,2006-02,4025,42
lefigaro,2006-03,3539,33
