media,month,total,query_total
lefigaro,2006-04,3296,54
lefigaro,2006-05,3715,66
lefigaro,2006-06,3795,49
lefigaro,2006-07,2889,48
lefigaro,2006-08,2579,40
lefigaro,2006-09,3699,80
lefigaro,2006-10,3812,76
lefigaro,2006-11,3919,100
lefigaro,2006-12,3789,71
lefigaro,2007-01,4864,118
lefigaro,2007-02,4460,108
lefigaro,2007-03,5796,114
lefigaro,2007-04,5493,98
lefigaro,2007-05,7197,183
lefigaro,2007-06,6689,171
lefigaro,2007-07,5141,94
lefigaro,2007-08,5631,96
lefigaro,2007-09,8364,143
lefigaro,2007-10,7622,204
lefigaro,2007-11,9199,184
lefigaro,2007-12,8372,146
lefigaro,2008-01,9804,128
lefigaro,2008-02,10995,112
lefigaro,2008-03,11725,125
lefigaro,2008-04,11587,144
lefigaro,2008-05,11184,146
lefigaro,2008-06,11419,158
lefigaro,2008-07,10149,127
lefigaro,2008-08,10876,64
lefigaro,2008-09,11345,133
lefigaro,2008-10,12896,147
lefigaro,2008-11,11383,145
lefigaro,2008-12,10652,152
lefigaro,2009-01,14576,176
lefigaro,2009-02,13455,123
lefigaro,2009-03,14217,133
lefigaro,2009-04,13827,140
lefigaro,2009-05,13073,100
lefigaro,2009-06,13830,192
lefigaro,2009-07,12565,134
lefigaro,2009-08,11854,99
lefigaro,2009-09,13474,196
lefigaro,2009-10,14391,192
lefigaro,2009-11,13423,248
lefigaro,2009-12,13590,400
lefigaro,2010-01,15771,234
lefigaro,2010-02,15941,184
lefigaro,2010-03,16615,226
lefigaro,2010-04,15210,186
lefigaro,2010-05,13972,171
lefigaro,2010-06,15182,116
lefigaro,2010-07,13249,121
lefigaro,2010-08,12650,112
lefigaro,2010-09,13748,126
lefigaro,2010-10,14379,135
lefigaro,2010-11,13803,144
lefigaro,2010-12,12981,170
lefigaro,2011-01,14460,129
lefigaro,2011-02,13253,111
lefigaro,2011-03,15611,111
lefigaro,2011-04,13393,120
lefigaro,2011-05,14631,123
lefigaro,2011-06,13556,124
lefigaro,2011-07,13265,99
lefigaro,2011-08,12571,68
lefigaro,2011-09,13877,89
lefigaro,2011-10,14087,127
lefigaro,2011-11,13758,147
lefigaro,2011-12,12545,118
lefigaro,2012-01,13977,114
lefigaro,2012-02,12984,195
lefigaro,2012-03,14345,132
lefigaro,2012-04,13500,108
lefigaro,2012-05,13792,114
lefigaro,2012-06,13940,138
lefigaro,2012-07,13714,101
lefigaro,2012-08,12804,75
lefigaro,2012-09,12619,101
lefigaro,2012-10,14209,112
lefigaro,2012-11,13543,144
lefigaro,2012-12,12260,109
lefigaro,2013-01,13485,133
lefigaro,2013-02,12927,95
lefigaro,2013-03,13033,100
lefigaro,2013-04,12993,87
lefigaro,2013-05,12855,127
lefigaro,2013-06,12628,104
lefigaro,2013-07,12152,150
lefigaro,2013-08,11784,81
lefigaro,2013-09,12040,158
lefigaro,2013-10,13159,117
lefigaro,2013-11,12485,108
lefigaro,2013-12,10911,87
lefigaro,2014-01,11116,115
lefigaro,2014-02,10512,112
lefigaro,2014-03,11376,102
lefigaro,2014-04,10983,163
lefigaro,2014-05,10437,100
lefigaro,2014-06,10838,152
lefigaro,2014-07,11129,131
lefigaro,2014-08,9813,76
lefigaro,2014-09,10894,121
lefigaro,2014-10,11500,199
lefigaro,2014-11,10741,138
lefigaro,2014-12,10705,158
lefigaro,2015-01,11674,139
lefigaro,2015-02,10658,129
lefigaro,2015-03,11701,154
lefigaro,2015-04,10777,118
lefigaro,2015-05,10617,141
lefigaro,2015-06,11058,183
lefigaro,2015-07,10120,153
lefigaro,2015-08,9395,152
lefigaro,2015-09,10978,203
lefigaro,2015-10,10979,206
lefigaro,2015-11,10407,293
lefigaro,2015-12,9700,222
lefigaro,2016-01,10231,132
lefigaro,2016-02,10584,146
lefigaro,2016-03,10735,132
lefigaro,2016-04,10424,131
lefigaro,2016-05,10606,157
lefigaro,2016-06,11243,134
lefigaro,2016-07,9989,86
lefigaro,2016-08,10121,114
lefigaro,2016-09,10638,162
lefigaro,2016-10,10500,173
lefigaro,2016-11,10902,215
lefigaro,2016-12,9677,155
lefigaro,2017-01,10812,174
lefigaro,2017-02,9828,161
lefigaro,2017-03,11230,209
lefigaro,2017-04,10047,137
lefigaro,2017-05,10764,207
lefigaro,2017-06,10658,262
lefigaro,2017-07,9913,243
lefigaro,2017-08,9161,170
lefigaro,2017-09,9818,244
lefigaro,2017-10,10489,213
lefigaro,2017-11,10174,254
lefigaro,2017-12,8950,222
lefigaro,2018-01,10502,233
lefigaro,2018-02,10046,206
lefigaro,2018-03,10710,188
lefigaro,2018-04,10038,209
lefigaro,2018-05,10302,191
lefigaro,2018-06,10713,229
lefigaro,2018-07,10465,167
lefigaro,2018-08,8991,239
lefigaro,2018-09,10194,293
lefigaro,2018-10,10668,294
lefigaro,2018-11,10129,446
lefigaro,2018-12,8956,278
lefigaro,2019-01,10921,276
lefigaro,2019-02,10422,287
lefigaro,2019-03,11682,331
lefigaro,2019-04,10876,350
lefigaro,2019-05,11189,417
lefigaro,2019-06,10860,399
lefigaro,2019-07,10323,435
lefigaro,2019-08,8374,285
lefigaro,2019-09,10626,455
lefigaro,2019-10,10655,384
lefigaro,2019-11,9809,341
lefigaro,2019-12,8568,333
lefigaro,2020-01,9466,413
lefigaro,2020-02,8776,373
lefigaro,2020-03,9395,184
lefigaro,2020-04,8901,170
lefigaro,2020-05,8938,228
lefigaro,2020-06,9280,338
lefigaro,2020-07,9157,362
lefigaro,2020-08,7406,182
lefigaro,2020-09,9873,491
lefigaro,2020-10,10030,313
lefigaro,2020-11,9862,306
lefigaro,2020-12,9010,331
lefigaro,2021-01,9126,284
lefigaro,2021-02,8487,336
lefigaro,2021-03,9499,298
lefigaro,2021-04,8789,345
lefigaro,2021-05,8550,307
lefigaro,2021-06,8851,380
lefigaro,2021-07,8251,339
lefigaro,2021-08,7277,244
lefigaro,2021-09,8608,486
lefigaro,2021-10,8891,529
lefigaro,2021-11,8555,425
lefigaro,2021-12,7829,290
lefigaro,2022-01,8722,344
lefigaro,2022-02,8417,370
lefigaro,2022-03,9065,334
lefigaro,2022-04,8101,336
lefigaro,2022-05,8416,379
lefigaro,2022-06,8335,474
lefigaro,2022-07,7239,459
lefigaro,2022-08,6816,464
lefigaro,2022-09,8245,645
lefigaro,2022-10,8197,549
lefigaro,2022-11,7919,572
lefigaro,2022-12,6761,390
lefigaro,2023-01,7945,495
lefigaro,2023-02,7511,413
lefigaro,2023-03,8362,505
lefigaro,2023-04,7311,419
lefigaro,2023-05,7879,498
lefigaro,2023-06,7609,514
lefigaro,2023-07,6626,445
lefigaro,2023-08,6519,380
lefigaro,2023-09,7515,524
lefigaro,2023-10,7659,390
lefigaro,2023-11,7339,476
lefigaro,2023-12,6608,384
lefigaro,2024-01,7826,429
lefigaro,2024-02,7400,429
lefigaro,2024-03,5,0
lemonde,1945-01,966,0
lemonde,1945-02,1056,0
lemonde,1945-03,1048,0
lemonde,1945-04,928,0
lemonde,1945-05,1093,1
lemonde,1945-06,963,0
lemonde,1945-07,1147,0
lemonde,1945-08,977,0
lemonde,1945-09,1116,0
lemonde,1945-10,1333,0
lemonde,1945-11,1421,1
lemonde,1945-12,1435,1
lemonde,1946-01,1281,0
lemonde,1946-02,1329,0
lemonde,1946-03,1348,1
lemonde,1946-04,1295,1
lemonde,1946-05,1397,2
lemonde,1946-06,1350,0
lemonde,1946-07,1761,1
lemonde,1946-08,1497,2
lemonde,1946-09,1462,2
lemonde,1946-10,1550,0
lemonde,1946-11,1561,0
lemonde,1946-12,1654,1
lemonde,1947-01,1328,1
lemonde,1947-02,697,0
lemonde,1947-03,662,2
lemonde,1947-04,1553,1
lemonde,1947-05,1679,1
lemonde,1947-06,1426,2
lemonde,1947-07,1499,0
lemonde,1947-08,1548,1
lemonde,1947-09,1547,0
lemonde,1947-10,1489,0
lemonde,1947-11,1252,1
lemonde,1947-12,912,0
lemonde,1948-01,1503,2
lemonde,1948-02,1447,0
lemonde,1948-03,1589,0
lemonde,1948-04,1673,2
lemonde,1948-05,1486,0
lemonde,1948-06,1483,2
lemonde,1948-07,1615,0
lemonde,1948-08,1721,5
lemonde,1948-09,1448,1
lemonde,1948-10,1566,2
lemonde,1948-11,1400,0
lemonde,1948-12,1822,1
lemonde,1949-01,1563,1
lemonde,1949-02,1489,1
lemonde,1949-03,1624,0
lemonde,1949-04,1680,1
lemonde,1949-05,1859,2
lemonde,1949-06,1734,1
lemonde,1949-07,1779,1
lemonde,1949-08,1828,0
lemonde,1949-09,1522,2
lemonde,1949-10,1904,3
lemonde,1949-11,1898,2
lemonde,1949-12,2016,2
lemonde,1950-01,2038,1
lemonde,1950-02,1620,0
lemonde,1950-03,1980,2
lemonde,1950-04,1818,0
lemonde,1950-05,1940,2
lemonde,1950-06,2041,1
lemonde,1950-07,1957,3
lemonde,1950-08,1753,1
lemonde,1950-09,1826,3
lemonde,1950-10,1896,1
lemonde,1950-11,1856,1
lemonde,1950-12,1956,0
lemonde,1951-01,1978,0
lemonde,1951-02,1873,3
lemonde,1951-03,2068,0
lemonde,1951-04,1873,1
lemonde,1951-05,1990,0
lemonde,1951-06,1939,3
lemonde,1951-07,1883,1
lemonde,1951-08,1491,0
lemonde,1951-09,1956,2
lemonde,1951-10,1968,0
lemonde,1951-11,1745,2
lemonde,1951-12,1907,1
lemonde,1952-01,2188,3
lemonde,1952-02,1855,1
lemonde,1952-03,1969,2
lemonde,1952-04,2107,1
lemonde,1952-05,2164,1
lemonde,1952-06,2219,1
lemonde,1952-07,2089,1
lemonde,1952-08,2013,2
lemonde,1952-09,2081,3
lemonde,1952-10,2133,0
lemonde,1952-11,2058,1
lemonde,1952-12,2355,0
lemonde,1953-01,2174,0
lemonde,1953-02,1826,0
lemonde,1953-03,2117,0
lemonde,1953-04,1987,1
lemonde,1953-05,2077,1
lemonde,1953-06,2082,2
lemonde,1953-07,2376,2
lemonde,1953-08,2183,2
lemonde,1953-09,2060,0
lemonde,1953-10,2366,0
lemonde,1953-11,2301,2
lemonde,1953-12,2402,0
lemonde,1954-01,2205,2
lemonde,1954-02,1944,1
lemonde,1954-03,2298,2
lemonde,1954-04,2255,3
lemonde,1954-05,2370,2
lemonde,1954-06,2588,2
lemonde,1954-07,2209,1
lemonde,1954-08,2133,2
lemonde,1954-09,2097,1
lemonde,1954-10,2465,0
lemonde,1954-11,2329,1
lemonde,1954-12,2391,1
lemonde,1955-01,2162,2
lemonde,1955-02,1953,2
lemonde,1955-03,2373,4
lemonde,1955-04,2052,3
lemonde,1955-05,2124,3
lemonde,1955-06,2464,0
lemonde,1955-07,2463,2
lemonde,1955-08,2503,2
lemonde,1955-09,2161,5
lemonde,1955-10,2291,0
lemonde,1955-11,2211,3
lemonde,1955-12,2401,3
lemonde,1956-01,2090,4
lemonde,1956-02,2108,4
lemonde,1956-03,2404,2
lemonde,1956-04,2404,3
lemonde,1956-05,2548,0
lemonde,1956-06,2363,4
lemonde,1956-07,2301,2
lemonde,1956-08,2470,3
lemonde,1956-09,2344,3
lemonde,1956-10,2656,0
lemonde,1956-11,2677,3
lemonde,1956-12,2449,1
lemonde,1957-01,2349,0
lemonde,1957-02,2244,1
lemonde,1957-03,2534,5
lemonde,1957-04,2478,6
lemonde,1957-05,2557,3
lemonde,1957-06,2483,1
lemonde,1957-07,2242,2
lemonde,1957-08,2226,2
lemonde,1957-09,2219,2
lemonde,1957-10,2585,1
lemonde,1957-11,2518,2
lemonde,1957-12,2364,1
lemonde,1958-01,2347,3
lemonde,1958-02,2087,3
lemonde,1958-03,2432,1
lemonde,1958-04,2354,0
lemonde,1958-05,2319,0
lemonde,1958-06,2541,1
lemonde,1958-07,2666,2
lemonde,1958-08,2441,1
lemonde,1958-09,2521,5
lemonde,1958-10,2474,3
lemonde,1958-11,2454,1
lemonde,1958-12,2155,1
lemonde,1959-01,2361,1
lemonde,1959-02,2441,6
lemonde,1959-03,2271,1
lemonde,1959-04,2512,1
lemonde,1959-05,2165,2
lemonde,1959-06,2263,2
lemonde,1959-07,2568,2
lemonde,1959-08,2365,4
lemonde,1959-09,2366,1
lemonde,1959-10,2387,5
lemonde,1959-11,2240,0
lemonde,1959-12,2511,6
lemonde,1960-01,2486,4
lemonde,1960-02,2582,2
lemonde,1960-03,2556,2
lemonde,1960-04,2177,2
lemonde,1960-05,2342,4
lemonde,1960-06,2418,3
lemonde,1960-07,2578,2
lemonde,1960-08,2146,0
lemonde,1960-09,2438,4
lemonde,1960-10,2370,1
lemonde,1960-11,2345,1
lemonde,1960-12,2442,3
lemonde,1961-01,2355,5
lemonde,1961-02,2418,3
lemonde,1961-03,2574,3
lemonde,1961-04,2539,1
lemonde,1961-05,2390,1
lemonde,1961-06,2309,1
lemonde,1961-07,2502,3
lemonde,1961-08,2321,0
lemonde,1961-09,2437,3
lemonde,1961-10,2291,4
lemonde,1961-11,2433,0
lemonde,1961-12,2353,2
lemonde,1962-01,2775,1
lemonde,1962-02,2510,2
lemonde,1962-03,3099,4
lemonde,1962-04,2755,4
lemonde,1962-05,2818,5
lemonde,1962-06,2813,5
lemonde,1962-07,2554,7
lemonde,1962-08,2386,4
lemonde,1962-09,2553,7
lemonde,1962-10,3258,3
lemonde,1962-11,2754,6
lemonde,1962-12,2750,3
lemonde,1963-01,2611,4
lemonde,1963-02,2427,5
lemonde,1963-03,3046,6
lemonde,1963-04,2658,4
lemonde,1963-05,2787,4
lemonde,1963-06,2599,4
lemonde,1963-07,2503,4
lemonde,1963-08,2334,4
lemonde,1963-09,2663,13
lemonde,1963-10,2970,6
lemonde,1963-11,2742,1
lemonde,1963-12,2734,8
lemonde,1964-01,2807,4
lemonde,1964-02,2855,3
lemonde,1964-03,3026,1
lemonde,1964-04,2929,6
lemonde,1964-05,2960,4
lemonde,1964-06,2817,5
lemonde,1964-07,2674,2
lemonde,1964-08,2198,3
lemonde,1964-09,2546,6
lemonde,1964-10,2784,4
lemonde,1964-11,2717,0
lemonde,1964-12,2935,3
lemonde,1965-01,2869,2
lemonde,1965-02,2519,4
lemonde,1965-03,3028,5
lemonde,1965-04,2856,4
lemonde,1965-05,2570,3
lemonde,1965-06,3007,1
lemonde,1965-07,2895,1
lemonde,1965-08,2530,5
lemonde,1965-09,2786,7
lemonde,1965-10,2890,7
lemonde,1965-11,3009,6
lemonde,1965-12,2981,0
lemonde,1966-01,2829,4
lemonde,1966-02,2701,0
lemonde,1966-03,3057,5
lemonde,1966-04,2722,5
lemonde,1966-05,2705,2
lemonde,1966-06,2824,8
lemonde,1966-07,2805,2
lemonde,1966-08,2704,8
lemonde,1966-09,2815,6
lemonde,1966-10,2754,5
lemonde,1966-11,2754,7
lemonde,1966-12,2988,4
lemonde,1967-01,2944,2
lemonde,1967-02,2884,4
lemonde,1967-03,3464,5
lemonde,1967-04,2910,6
lemonde,1967-05,2983,5
lemonde,1967-06,3056,4
lemonde,1967-07,3038,7
lemonde,1967-08,2757,5
lemonde,1967-09,3181,7
lemonde,1967-10,3100,5
lemonde,1967-11,2968,5
lemonde,1967-12,2987,5
lemonde,1968-01,3129,4
lemonde,1968-02,3187,7
lemonde,1968-03,3315,3
lemonde,1968-04,3093,2
lemonde,1968-05,3101,2
lemonde,1968-06,3218,2
lemonde,1968-07,3093,2
lemonde,1968-08,2877,7
lemonde,1968-09,3122,12
lemonde,1968-10,3155,4
lemonde,1968-11,3421,7
lemonde,1968-12,3429,2
lemonde,1969-01,3626,4
lemonde,1969-02,3473,3
lemonde,1969-03,3449,3
lemonde,1969-04,3655,8
lemonde,1969-05,3658,1
lemonde,1969-06,3210,2
lemonde,1969-07,3434,6
lemonde,1969-08,3030,4
lemonde,1969-09,3264,4
lemonde,1969-10,3584,5
lemonde,1969-11,3439,3
lemonde,1969-12,3564,2
lemonde,1970-01,3738,18
lemonde,1970-02,3263,8
lemonde,1970-03,3198,3
lemonde,1970-04,3411,5
lemonde,1970-05,3411,6
lemonde,1970-06,3474,4
lemonde,1970-07,3041,9
lemonde,1970-08,2852,5
lemonde,1970-09,3253,9
lemonde,1970-10,3737,6
lemonde,1970-11,3427,3
lemonde,1970-12,3822,9
lemonde,1971-01,3574,14
lemonde,1971-02,3127,4
lemonde,1971-03,3658,8
lemonde,1971-04,3360,8
lemonde,1971-05,3356,3
lemonde,1971-06,3491,3
lemonde,1971-07,2692,3
lemonde,1971-08,2579,4
lemonde,1971-09,3022,2
lemonde,1971-10,3263,4
lemonde,1971-11,3085,3
lemonde,1971-12,3264,1
lemonde,1972-01,2673,4
lemonde,1972-02,2656,4
lemonde,1972-03,3258,4
lemonde,1972-04,2922,4
lemonde,1972-05,3077,8
lemonde,1972-06,2867,7
lemonde,1972-07,2632,4
lemonde,1972-08,2191,10
lemonde,1972-09,3005,7
lemonde,1972-10,3103,5
lemonde,1972-11,3138,7
lemonde,1972-12,3159,11
lemonde,1973-01,3036,6
lemonde,1973-02,2923,8
lemonde,1973-03,3353,5
lemonde,1973-04,2924,9
